round,label,conversion_status
1,Curve00001,retained
1,Curve00002,retained
1,Curve00003,retained
1,Curve00004,retained
1,Curve00005,retained
1,Curve00006,retained
1,Curve00007,retained
1,Curve00008,retained
1,Curve00009,retained
1,Curve00010,retained
1,Curve00011,retained
1,Curve00012,retained
1,Curve00013,retained
1,Curve00014,retained
1,Curve00015,retained
1,Curve00016,retained
1,Curve00017,retained
1,Curve00018,retained
1,Curve00019,retained
1,Curve00020,retained
1,Curve00021,retained
1,Curve00022,retained
1,Curve00023,retained
1,Curve00024,retained
1,Curve00025,retained
1,Curve00026,retained
1,Curve00027,retained
1,Curve00028,retained
1,Curve00029,retained
1,Curve00030,retained
1,Curve00031,retained
1,Curve00032,retained
1,Curve00033,retained
1,Curve00034,retained
1,Curve00035,retained
1,Curve00036,retained
1,Curve00037,retained
1,Curve00038,retained
1,Curve00039,retained
1,Curve00040,retained
1,Curve00041,retained
1,Curve00042,retained
1,Curve00043,retained
1,Curve00044,retained
1,Curve00045,retained
1,Curve00046,retained
1,Curve00047,retained
1,Curve00048,retained
1,Curve00049,retained
1,Curve00050,retained
1,Curve00051,retained
1,Curve00052,retained
1,Curve00053,retained
1,Curve00054,retained
1,Curve00055,retained
1,Curve00056,retained
1,Curve00057,retained
1,Curve00058,retained
1,Curve00059,retained
1,Curve00060,retained
1,Curve00061,retained
1,Curve00062,retained
1,Curve00063,retained
1,Curve00064,retained
1,Curve00065,retained
1,Curve00066,retained
1,Curve00067,retained
1,Curve00068,retained
1,Curve00069,retained
1,Curve00070,retained
1,Curve00071,retained
1,Curve00072,retained
1,Curve00073,retained
1,Curve00074,retained
1,Curve00075,retained
1,Curve00076,retained
1,Curve00077,retained
1,Curve00078,retained
1,Curve00079,retained
1,Curve00080,retained
1,Curve00081,retained
1,Curve00082,retained
1,Curve00083,retained
1,Curve00084,retained
1,Curve00085,retained
1,Curve00086,retained
1,Curve00087,retained
1,Curve00088,retained
1,Curve00089,retained
1,Curve00090,retained
1,Curve00091,retained
1,Curve00092,retained
1,Curve00093,retained
1,Curve00094,retained
1,Curve00095,retained
1,Curve00096,retained
1,Curve00097,retained
1,Curve00098,retained
1,Curve00099,retained
1,Curve00100,retained
1,Curve00101,retained
1,Curve00102,retained
1,Curve00103,retained
1,Curve00104,retained
1,Curve00105,retained
1,Curve00106,retained
1,Curve00107,retained
1,Curve00108,retained
1,Curve00109,retained
1,Curve00110,retained
1,Curve00111,retained
1,Curve00112,retained
1,Curve00113,retained
1,Curve00114,retained
1,Curve00115,retained
1,Curve00116,retained
1,Curve00117,retained
1,Curve00118,retained
1,Curve00119,retained
1,Curve00120,retained
1,Curve00121,retained
1,Curve00122,retained
1,Curve00123,retained
1,Curve00124,retained
1,Curve00125,retained
1,Curve00126,retained
1,Curve00127,retained
1,Curve00128,retained
1,Curve00129,retained
1,Curve00130,retained
1,Curve00131,retained
1,Curve00132,retained
1,Curve00133,retained
1,Curve00134,retained
1,Curve00135,retained
1,Curve00136,retained
1,Curve00137,retained
1,Curve00138,retained
1,Curve00139,retained
1,Curve00140,retained
1,Curve00141,retained
1,Curve00142,retained
1,Curve00143,retained
1,Curve00144,retained
1,Curve00145,retained
1,Curve00146,retained
1,Curve00147,retained
1,Curve00148,retained
1,Curve00149,retained
1,Curve00150,retained
1,Curve00151,retained
1,Curve00152,retained
1,Curve00153,retained
1,Curve00154,retained
1,Curve00155,retained
