label,cluster
Curve00001,1
Curve00002,1
Curve00003,1
Curve00004,1
Curve00005,1
Curve00006,1
Curve00007,1
Curve00008,1
Curve00009,1
Curve00010,1
Curve00011,1
Curve00012,1
Curve00013,1
Curve00014,1
Curve00015,1
Curve00016,1
Curve00017,1
Curve00018,1
Curve00019,1
Curve00020,1
Curve00021,1
Curve00022,1
Curve00023,1
Curve00024,1
Curve00025,1
Curve00026,1
Curve00027,1
Curve00028,1
Curve00029,1
Curve00030,1
Curve00031,1
Curve00032,1
Curve00033,1
Curve00034,1
Curve00035,1
Curve00036,1
Curve00037,1
Curve00038,1
Curve00039,1
Curve00040,1
Curve00041,1
Curve00042,1
Curve00043,1
Curve00044,1
Curve00045,1
Curve00046,1
Curve00047,1
Curve00048,1
Curve00049,1
Curve00050,1
Curve00051,1
Curve00052,1
Curve00053,1
Curve00054,1
Curve00055,1
Curve00056,1
Curve00057,1
Curve00058,1
Curve00059,1
Curve00060,1
Curve00061,1
Curve00062,1
Curve00063,1
Curve00064,1
Curve00065,1
Curve00066,1
Curve00067,1
Curve00068,1
Curve00069,1
Curve00070,1
Curve00071,1
Curve00072,1
Curve00073,1
Curve00074,1
Curve00075,1
Curve00076,1
Curve00077,1
Curve00078,1
Curve00079,1
Curve00080,1
Curve00081,1
Curve00082,1
Curve00083,1
Curve00084,1
Curve00085,1
Curve00086,1
Curve00087,1
Curve00088,1
Curve00089,1
Curve00090,1
Curve00091,1
Curve00092,1
Curve00093,1
Curve00094,1
Curve00095,1
Curve00096,1
Curve00097,1
Curve00098,1
Curve00099,1
Curve00100,1
Curve00101,1
Curve00102,1
Curve00103,1
Curve00104,1
Curve00105,1
Curve00106,1
Curve00107,1
Curve00108,1
Curve00109,1
Curve00110,1
Curve00111,1
Curve00112,1
Curve00113,1
Curve00114,1
Curve00115,1
Curve00116,1
Curve00117,1
Curve00118,1
Curve00119,1
Curve00120,1
Curve00121,1
Curve00122,1
Curve00123,1
Curve00124,1
Curve00125,1
Curve00126,1
Curve00127,1
Curve00128,1
Curve00129,1
Curve00130,1
Curve00131,1
Curve00132,1
Curve00133,1
Curve00134,1
Curve00135,1
Curve00136,1
Curve00137,1
Curve00138,1
Curve00139,1
Curve00140,1
Curve00141,1
Curve00142,1
Curve00143,1
Curve00144,1
Curve00145,1
Curve00146,1
Curve00147,1
Curve00148,1
Curve00149,1
Curve00150,1
Curve00151,1
Curve00152,1
Curve00153,1
Curve00154,1
Curve00155,1
Curve00156,1
Curve00157,1
Curve00158,1
Curve00159,1
Curve00160,1
Curve00161,1
Curve00162,1
Curve00163,1
Curve00164,1
Curve00165,1
Curve00166,1
Curve00167,1
Curve00168,1
Curve00169,1
Curve00170,1
Curve00171,1
Curve00172,1
Curve00173,1
Curve00174,1
Curve00175,1
Curve00176,1
Curve00177,1
Curve00178,1
Curve00179,1
Curve00180,1
Curve00181,1
Curve00182,1
Curve00183,1
Curve00184,1
Curve00185,1
Curve00186,1
Curve00187,1
Curve00188,1
Curve00189,1
Curve00190,1
Curve00191,1
Curve00192,1
Curve00193,1
Curve00194,1
Curve00195,1
Curve00196,1
Curve00197,1
Curve00198,1
Curve00199,1
Curve00200,1
Curve00201,1
Curve00202,1
Curve00203,1
Curve00204,1
Curve00205,1
Curve00206,1
Curve00207,1
Curve00208,1
Curve00209,1
Curve00210,1
Curve00211,1
Curve00212,1
Curve00213,1
Curve00214,1
Curve00215,1
Curve00216,1
Curve00217,1
Curve00218,1
Curve00219,1
Curve00220,1
Curve00221,1
Curve00222,1
Curve00223,1
Curve00224,1
Curve00225,1
Curve00226,1
Curve00227,1
Curve00228,1
Curve00229,1
Curve00230,1
Curve00231,1
Curve00232,1
Curve00233,1
Curve00234,1
Curve00235,1
Curve00236,1
Curve00237,1
Curve00238,1
Curve00239,1
Curve00240,1
Curve00241,1
Curve00242,1
Curve00243,1
Curve00244,1
Curve00245,1
Curve00246,1
Curve00247,1
Curve00248,1
Curve00249,1
Curve00250,1
Curve00251,1
Curve00252,1
Curve00253,1
Curve00254,1
Curve00255,1
Curve00256,1
Curve00257,1
Curve00258,1
Curve00259,1
Curve00260,1
Curve00261,1
Curve00262,1
Curve00263,1
Curve00264,1
Curve00265,1
Curve00266,1
Curve00267,1
Curve00268,1
Curve00269,1
Curve00270,1
Curve00271,1
Curve00272,1
Curve00273,1
Curve00274,1
Curve00275,1
Curve00276,1
Curve00277,1
Curve00278,1
Curve00279,1
Curve00280,1
Curve00281,1
Curve00282,1
Curve00283,1
Curve00284,1
Curve00285,1
Curve00286,1
Curve00287,1
Curve00288,1
Curve00289,1
Curve00290,1
Curve00291,1
Curve00292,1
Curve00293,1
Curve00294,1
Curve00295,1
Curve00296,1
Curve00297,1
Curve00298,1
Curve00299,1
Curve00300,1
Curve00301,1
Curve00302,1
Curve00303,1
Curve00304,1
Curve00305,1
Curve00306,1
Curve00307,1
Curve00308,1
Curve00309,1
Curve00310,1
Curve00311,1
Curve00312,1
Curve00313,1
Curve00314,1
Curve00315,1
Curve00316,1
Curve00317,1
Curve00318,1
Curve00319,1
Curve00320,1
Curve00321,1
Curve00322,1
Curve00323,1
Curve00324,1
Curve00325,1
Curve00326,1
Curve00327,1
Curve00328,1
Curve00329,1
Curve00330,1
Curve00331,1
Curve00332,1
Curve00333,1
Curve00334,1
Curve00335,1
Curve00336,1
Curve00337,1
Curve00338,1
Curve00339,1
Curve00340,1
Curve00341,1
Curve00342,1
Curve00343,1
Curve00344,1
Curve00345,1
Curve00346,1
Curve00347,1
Curve00348,1
Curve00349,1
Curve00350,1
Curve00351,1
Curve00352,1
Curve00353,1
Curve00354,1
Curve00355,1
Curve00356,1
Curve00357,1
Curve00358,1
Curve00359,1
Curve00360,1
Curve00361,1
Curve00362,1
Curve00363,1
Curve00364,1
Curve00365,1
Curve00366,1
Curve00367,1
Curve00368,1
Curve00369,1
Curve00370,1
Curve00371,1
Curve00372,1
Curve00373,1
Curve00374,1
Curve00375,1
Curve00376,1
Curve00377,1
Curve00378,1
Curve00379,1
Curve00380,1
Curve00381,1
Curve00382,1
Curve00383,1
Curve00384,1
Curve00385,1
Curve00386,1
Curve00387,1
Curve00388,1
Curve00389,1
Curve00390,1
Curve00391,1
Curve00392,1
Curve00393,1
Curve00394,1
Curve00395,1
Curve00396,1
Curve00397,1
Curve00398,1
Curve00399,1
Curve00400,1
Curve00401,1
Curve00402,1
Curve00403,1
Curve00404,1
Curve00405,1
Curve00406,1
Curve00407,1
Curve00408,1
Curve00409,1
Curve00410,1
Curve00411,1
Curve00412,1
Curve00413,1
Curve00414,1
Curve00415,1
Curve00416,1
Curve00417,1
Curve00418,1
Curve00419,1
Curve00420,1
Curve00421,1
Curve00422,1
Curve00423,1
Curve00424,1
Curve00425,1
Curve00426,1
Curve00427,1
Curve00428,1
Curve00429,1
Curve00430,1
Curve00431,1
Curve00432,1
Curve00433,1
Curve00434,1
Curve00435,1
Curve00436,1
Curve00437,1
Curve00438,1
Curve00439,1
Curve00440,1
Curve00441,1
Curve00442,1
Curve00443,1
Curve00444,1
Curve00445,1
Curve00446,1
Curve00447,1
Curve00448,1
Curve00449,1
Curve00450,1
Curve00451,1
Curve00452,1
Curve00453,1
Curve00454,1
Curve00455,1
Curve00456,1
Curve00457,1
Curve00458,1
Curve00459,1
Curve00460,1
Curve00461,1
Curve00462,1
Curve00463,1
Curve00464,1
Curve00465,1
Curve00466,1
Curve00467,1
Curve00468,1
Curve00469,1
Curve00470,1
Curve00471,1
Curve00472,1
Curve00473,1
Curve00474,1
Curve00475,1
Curve00476,1
Curve00477,1
Curve00478,1
Curve00479,1
Curve00480,1
Curve00481,1
Curve00482,1
Curve00483,1
Curve00484,1
Curve00485,1
Curve00486,1
Curve00487,1
Curve00488,1
Curve00489,1
Curve00490,1
Curve00491,1
Curve00492,1
Curve00493,1
Curve00494,1
Curve00495,1
Curve00496,1
Curve00497,1
Curve00498,1
Curve00499,1
Curve00500,1
Curve00501,1
Curve00502,1
Curve00503,1
Curve00504,1
Curve00505,1
Curve00506,1
Curve00507,1
Curve00508,1
Curve00509,1
Curve00510,1
Curve00511,1
Curve00512,1
Curve00513,1
Curve00514,1
Curve00515,1
Curve00516,1
Curve00517,1
Curve00518,1
Curve00519,1
Curve00520,1
Curve00521,1
Curve00522,1
Curve00523,1
Curve00524,1
Curve00525,1
Curve00526,1
Curve00527,1
Curve00528,1
Curve00529,1
Curve00530,1
Curve00531,1
Curve00532,1
Curve00533,1
Curve00534,1
Curve00535,1
Curve00536,1
Curve00537,1
Curve00538,1
Curve00539,1
Curve00540,1
Curve00541,1
Curve00542,1
Curve00543,1
Curve00544,1
Curve00545,1
Curve00546,1
Curve00547,1
Curve00548,1
Curve00549,1
Curve00550,1
Curve00551,1
Curve00552,1
Curve00553,1
Curve00554,1
Curve00555,1
Curve00556,1
Curve00557,1
Curve00558,1
Curve00559,1
Curve00560,1
Curve00561,1
Curve00562,1
Curve00563,1
Curve00564,1
Curve00565,1
Curve00566,1
Curve00567,1
Curve00568,1
Curve00569,1
Curve00570,1
Curve00571,1
Curve00572,1
Curve00573,1
Curve00574,1
Curve00575,1
Curve00576,1
Curve00577,1
Curve00578,1
Curve00579,1
Curve00580,1
Curve00581,1
Curve00582,1
Curve00583,1
Curve00584,1
Curve00585,1
Curve00586,1
Curve00587,1
Curve00588,1
Curve00589,1
Curve00590,1
Curve00591,1
Curve00592,1
Curve00593,1
Curve00594,1
Curve00595,1
Curve00596,1
Curve00597,1
Curve00598,1
Curve00599,1
Curve00600,1
Curve00601,1
Curve00602,1
Curve00603,1
Curve00604,1
Curve00605,1
Curve00606,1
Curve00607,1
Curve00608,1
Curve00609,1
Curve00610,1
Curve00611,1
Curve00612,1
Curve00613,1
Curve00614,1
Curve00615,1
Curve00616,1
Curve00617,1
Curve00618,1
Curve00619,1
Curve00620,1
Curve00621,1
Curve00622,1
Curve00623,1
Curve00624,1
Curve00625,1
Curve00626,1
Curve00627,1
Curve00628,1
Curve00629,1
Curve00630,1
Curve00631,1
Curve00632,1
Curve00633,1
Curve00634,1
Curve00635,1
Curve00636,1
Curve00637,1
Curve00638,1
Curve00639,1
Curve00640,1
Curve00641,1
Curve00642,1
Curve00643,1
Curve00644,1
Curve00645,1
Curve00646,1
Curve00647,1
Curve00648,1
Curve00649,1
Curve00650,1
Curve00651,1
Curve00652,1
Curve00653,1
Curve00654,1
Curve00655,1
Curve00656,1
Curve00657,1
Curve00658,1
Curve00659,1
Curve00660,1
Curve00661,1
Curve00662,1
Curve00663,1
Curve00664,1
Curve00665,1
Curve00666,1
Curve00667,1
Curve00668,1
Curve00669,1
Curve00670,1
Curve00671,1
Curve00672,1
Curve00673,1
Curve00674,1
Curve00675,1
Curve00676,1
Curve00677,1
Curve00678,1
Curve00679,1
Curve00680,1
Curve00681,1
Curve00682,1
Curve00683,1
Curve00684,1
Curve00685,1
Curve00686,1
Curve00687,1
Curve00688,1
Curve00689,1
Curve00690,1
Curve00691,1
Curve00692,1
Curve00693,1
Curve00694,1
Curve00695,1
Curve00696,1
Curve00697,1
Curve00698,1
Curve00699,1
Curve00700,1
Curve00701,1
Curve00702,1
Curve00703,1
Curve00704,1
Curve00705,1
Curve00706,1
Curve00707,1
Curve00708,1
Curve00709,1
Curve00710,1
Curve00711,1
Curve00712,1
Curve00713,1
Curve00714,1
Curve00715,1
Curve00716,1
Curve00717,1
Curve00718,1
Curve00719,1
Curve00720,1
Curve00721,1
Curve00722,1
Curve00723,1
Curve00724,1
Curve00725,1
Curve00726,1
Curve00727,1
Curve00728,1
Curve00729,1
Curve00730,1
Curve00731,1
Curve00732,1
Curve00733,1
Curve00734,1
Curve00735,1
Curve00736,1
Curve00737,1
Curve00738,1
Curve00739,1
Curve00740,1
Curve00741,1
Curve00742,1
Curve00743,1
Curve00744,1
Curve00745,1
Curve00746,1
Curve00747,1
Curve00748,1
Curve00749,1
Curve00750,1
Curve00751,1
Curve00752,1
Curve00753,1
Curve00754,1
Curve00755,1
Curve00756,1
Curve00757,1
Curve00758,1
Curve00759,1
Curve00760,1
Curve00761,1
Curve00762,1
Curve00763,1
Curve00764,1
Curve00765,1
Curve00766,1
Curve00767,1
Curve00768,1
Curve00769,1
Curve00770,1
Curve00771,1
Curve00772,1
Curve00773,1
Curve00774,1
Curve00775,1
Curve00776,1
Curve00777,1
Curve00778,1
Curve00779,1
Curve00780,1
Curve00781,1
Curve00782,1
Curve00783,1
Curve00784,1
Curve00785,1
Curve00786,1
Curve00787,1
Curve00788,1
Curve00789,1
Curve00790,1
Curve00791,1
Curve00792,1
Curve00793,1
Curve00794,1
Curve00795,1
Curve00796,1
Curve00797,1
Curve00798,1
Curve00799,1
Curve00800,1
Curve00801,1
Curve00802,1
Curve00803,1
Curve00804,1
Curve00805,1
Curve00806,1
Curve00807,1
Curve00808,1
Curve00809,1
Curve00810,1
Curve00811,1
Curve00812,1
Curve00813,1
Curve00814,1
Curve00815,1
Curve00816,1
Curve00817,1
Curve00818,1
Curve00819,1
Curve00820,1
Curve00821,1
Curve00822,1
Curve00823,1
Curve00824,1
Curve00825,1
Curve00826,1
Curve00827,1
Curve00828,1
Curve00829,1
Curve00830,1
Curve00831,1
Curve00832,1
Curve00833,1
Curve00834,1
Curve00835,1
Curve00836,1
Curve00837,1
Curve00838,1
Curve00839,1
