condition,gr,exit_lag_rate,N_max
Cond00001,3.1653415141055294,11.496713522943686,0.781001515790743
Cond00002,0.2013866705733237,0.5866933419061077,0.31961621320768174
Cond00003,0.2575696739855802,0.30072789437651076,0.33873459465851125
Cond00004,0.2419035003440901,0.2822751541891726,0.34917278103074095
Cond00005,0.26206717022197434,0.1922207814622887,0.3364004145344723
Cond00006,0.26483193472675604,0.21322728407876929,0.33659536819925867
Cond00007,0.30371389713052477,0.19842916202643618,0.33759528527124055
Cond00008,0.23490023008249375,0.3744332215855251,0.34126511659571324
Cond00009,0.27046740101037114,0.20706051530700081,0.34237372678998623
Cond00010,0.24812349436423548,0.25249995099723593,0.32335602002686775
Cond00011,0.210548211975904,0.8103505236910657,0.33300720021240776
Cond00012,0.20385563362397624,0.7255737450622882,0.3319630875193693
Cond00013,0.20734335553887304,0.6258086259717367,0.33581161772801654
Cond00014,0.1398528445915287,0.13026303360468472,0.16417353692374895
Cond00015,0.10897351202577579,1.0551415962809179,0.18123145843113886
Cond00016,0.33994067105828196,0.4667320021102749,0.46321098928945204
Cond00017,0.37351581198449135,0.2610691937658849,0.4657095366014176
Cond00018,0.25248536221330165,0.2525931769702227,0.26852261693719465
Cond00019,0.24647731572788423,0.2487756280597815,0.3011053880454593
Cond00020,0.23326252684949317,0.3473441471827654,0.3275063203809396
Cond00021,0.26379864205974785,0.16319669776844564,0.310487396560451
Cond00022,0.2549869447830424,0.23472488417850146,0.3179399857832146
Cond00023,0.2938838257439358,0.24095084727384894,0.330076049926392
Cond00024,0.24532512822712954,0.3219481853156855,0.3395624884818043
Cond00025,0.26951011917353385,0.22578976808802645,0.34667425276045927
Cond00026,0.32146888325405987,0.274319232083751,0.3663408944409813
Cond00027,0.22049591530775292,0.3563941430836506,0.33943249702826644
Cond00028,0.21822621799974223,0.3851048167549501,0.3420077071010374
Cond00029,0.3128536715807342,0.24543885328260695,0.39806273254848673
Cond00030,0.2699975123417423,0.28618588735583683,0.3418508999768118
Cond00031,0.24140414517485764,0.27228459127496807,0.32781161707484197
Cond00032,0.2796197174551951,0.24936046624688263,0.34902927176687376
Cond00033,0.2806111796851028,0.29745369217350753,0.3616394350581017
Cond00034,0.26893038456097096,0.21648417367637815,0.3339610339513853
Cond00035,0.2608174189869252,0.23697482823580174,0.33273968731888154
Cond00036,0.3042119896142941,0.21343500957637593,0.3558488441741774
Cond00037,0.29754576400387434,0.21741331227228322,0.3562782885841305
Cond00038,0.29663863472950136,0.05548565716407613,0.3127016839344078
Cond00039,0.3171146037863999,0.07617176673957661,0.3284440068436979
Cond00040,0.21910426451385936,0.5630118790535108,0.3502108616914283
Cond00041,0.25086718945617714,0.5430665863664784,0.4306362656105977
Cond00042,0.22639557318534662,0.29928413398646225,0.3193213887391491
Cond00043,0.2459076211262624,0.2607231091415989,0.3216031090779876
Cond00044,0.2039490221690578,0.21334486504497843,0.31990651643126977
Cond00045,0.23051454169345512,0.06591206788746101,0.31938889231494794
Cond00046,0.22410553579245532,0.41436108424462426,0.33019040416676065
Cond00047,0.2462847442583041,0.48964953318084425,0.3467520619985564
Cond00048,0.29671082374339763,0.10964031583157183,0.3366193890587019
Cond00049,0.2639725983536456,0.08275810348392744,0.3715106544472744
Cond00050,0.24769096635280274,0.29906452313877185,0.3341078603366116
Cond00051,0.2637908174489435,0.3455259595968114,0.35090174673279323
Cond00052,0.2978534543761288,0.18490460452425117,0.3427861047870664
Cond00053,0.33641272436317793,0.1433902775215664,0.4259787721184928
Cond00054,0.2607975900662652,0.20808236279545936,0.32667137852632033
Cond00055,0.25540392903612835,0.3153324317583434,0.33898036122121783
Cond00056,0.2136454846796368,0.353465859142951,0.3424686885935812
Cond00057,0.23087746863742023,0.26205687977087266,0.36676652770266754
Cond00058,0.2519893802731593,0.26366084204336526,0.3343578544314941
Cond00059,0.2666081712004351,0.23829090879733691,0.33604154792984464
Cond00060,0.28324115414845685,0.20274117667761912,0.3411782957551541
Cond00061,0.2871318852832089,0.18646439741952114,0.33704327842015713
Cond00062,2.562508380234988,6.223970525727513,4.085648305978517
Cond00063,0.5875879554830732,9.049708250961976,0.09124410700498825
Cond00064,0.3088531336667519,0.1803435455932776,0.35066144137453636
Cond00065,0.3453291139406809,0.07358187096180663,0.33926325686066866
Cond00066,0.21798326301727633,0.26223635049197375,0.3323440652338008
Cond00067,0.16449296365936997,0.40369556779420024,0.3142647922604776
Cond00068,0.18427582245390456,0.735929119616798,0.30379695878685564
Cond00069,0.3949739381459776,0.05437634524829993,0.32949575438767115
Cond00070,0.3756438372611869,0.03852307309567316,0.32741861455485344
Cond00071,0.2176721953380104,0.35877089347041863,0.33857214776563144
Cond00072,0.2612086372535345,0.28857581852748204,0.35657899355746137
Cond00073,0.26345735720331925,0.29300099234612315,0.3575271379985358
Cond00074,0.3647659719264,0.033283220771171546,0.346620949963191
Cond00075,0.2715945529707211,0.23042956707924306,0.33712627072668244
Cond00076,0.26354264952878814,0.41594371159068755,0.3529186666178584
Cond00077,0.24212631723217296,0.5895730455672613,0.34449811671176556
Cond00078,0.2798622779128352,0.25593735707766235,0.34511957560046413
Cond00079,0.24949372632369998,0.29973428316647677,0.33894397027095113
Cond00080,0.24048763075862642,0.3622833759789034,0.3406722424492035
Cond00081,0.23866079103357574,0.4209396565270658,0.34835870035371985
Cond00082,0.22223390436304913,0.3744767908722913,0.32824837976436333
Cond00083,0.23780715658492124,0.3091511918327755,0.3308033158676178
Cond00084,0.25787742978628336,0.30404294534565285,0.3468925964474323
Cond00085,0.3003293020117179,0.25175722918533616,0.4530641468692696
Cond00086,0.29259422014464403,0.2235955804244823,0.34662986713808364
Cond00087,0.2588535645247821,0.36899970427334255,0.3478852867548311
Cond00088,0.2249447875023084,0.451422457390277,0.35374190630635594
Cond00089,0.18350784183460433,0.34911746944136174,0.3857794581208784
Cond00090,0.3160812940583053,0.1941992821751744,0.3538234196172157
Cond00091,0.32293676257044873,0.22743141795353805,0.340994485651577
Cond00092,0.3350766741326803,0.2832706525027394,0.37400071635442095
Cond00093,0.3324767299104793,0.180661436589939,0.371339196441136
Cond00094,0.27882664179327327,0.24644011782297304,0.34156152578004356
Cond00095,0.2398363037081099,0.3245993332395122,0.32006015925879394
Cond00096,0.2451638247355755,0.3000502117413604,0.33769238960628317
Cond00097,0.2667028654289098,0.2725080112707797,0.383484192876829
Cond00098,0.33643144188175345,0.1937203023461261,0.355729133500689
Cond00099,0.2688110611681919,0.20156518514833846,0.3316465706720449
Cond00100,0.28142816547954497,0.18965211818628402,0.339937366319474
Cond00101,0.27176223526070037,0.2136061647901652,0.3463414323209445
Cond00102,0.245073202375744,0.17107326370251846,0.32806181683360414
Cond00103,0.23442567439369266,0.20547969023420815,0.32843378396756345
Cond00104,0.17599312318357416,0.44325136293337225,0.20262165873770696
Cond00105,0.1059469146722302,0.10205085569918046,0.17232628166361588
Cond00106,0.2610580588742471,0.230435983894573,0.33065629440839955
Cond00107,0.27445870002174977,0.20442100494736493,0.3366328459138435
Cond00108,0.2574631505318976,0.22554616811700445,0.33822897377694644
Cond00109,0.26263416617295204,0.17693808860188828,0.3492611967965262
Cond00110,0.274865268080542,0.2106431952732849,0.3372652018970441
Cond00111,0.22914642733687268,0.28571649026745105,0.3361157598480167
Cond00112,0.29176726765423483,0.21323521092818265,0.34718608316645105
Cond00113,0.2919435892901723,0.17872515702575512,0.3428144263468018
Cond00114,0.28921025175690296,0.17741442365517582,0.33724245977181094
Cond00115,0.2832022087106898,0.1909702192888844,0.3370563290684929
Cond00116,0.2956821491534578,0.1854312256926075,0.3348571242200141
Cond00117,0.24656529073139521,0.19988268063056347,0.3273239491941726
Cond00118,0.2779681665504254,0.2046380899126386,0.3370470724476094
Cond00119,0.2795046846556733,0.2471509443250413,0.3415333151534478
Cond00120,0.2894464716448353,0.19874912593655567,0.33676513769240235
Cond00121,0.2684233506327576,0.2166347317119747,0.3352548556732555
Cond00122,0.26094365994246155,0.2561659336358356,0.3427855406832762
Cond00123,0.2702723316821538,0.24514409125603878,0.34536761141568717
Cond00124,0.2677094418557207,0.23696731127273102,0.3414818171192027
Cond00125,0.27073069679383277,0.21199600397749674,0.33180752369361344
Cond00126,0.25912432446579037,0.2551848995124245,0.343709592171786
Cond00127,0.2774091982500914,0.24169419773501,0.3469874531457693
Cond00128,0.26395525580008455,0.27492523441179656,0.348629943893893
Cond00129,0.2531057557535249,0.30575738149951953,0.34376685554673353
Cond00130,0.24247250796081987,0.2940372990137085,0.3380763413550482
Cond00131,0.2222041329964368,0.41496236022923516,0.33881201905201896
Cond00132,0.25494292004744296,0.28808797271956826,0.34495955724529365
Cond00133,0.3081290648078756,0.11383345857752891,0.3504729016621362
Cond00134,0.2224801237799245,0.37616395340471825,0.308898646535789
Cond00135,0.2285707206564568,0.3566391650918415,0.3282637905009286
Cond00136,0.23558570832671893,0.4243177585160329,0.3423101511728414
Cond00137,0.2292457863629283,0.36276266649862315,0.3339572912410913
Cond00138,0.29733124132523364,0.20199933925120195,0.3424589138860546
Cond00139,0.2668698633172274,0.21276977683544265,0.3284787471099089
Cond00140,0.26499289899819944,0.20902998214215826,0.33079919417739956
Cond00141,0.28009094791343125,0.20596323981880946,0.34496305485753626
Cond00142,0.2648164740929304,0.23275578099132824,0.3354763033785527
Cond00143,0.23876277403655546,0.3249736705353947,0.334499675118104
Cond00144,0.2405048939601245,0.29668370144544254,0.33850840658188464
Cond00145,0.2624860703642027,0.24290299640556354,0.3386711657503958
Cond00146,0.27900420540921667,0.19885368825277253,0.337353680534162
Cond00147,0.26313648377516574,0.22493367596709668,0.3391468533804438
Cond00148,0.275651892899203,0.19718233815211428,0.33998901077013727
Cond00149,0.2847201496142663,0.2162408633973053,0.34643956951886656
Cond00150,0.2746826093427661,0.2116320036650596,0.3312658597000779
Cond00151,0.2642290912610475,0.22743426509629247,0.32987224246648533
Cond00152,0.2914726505747185,0.20467245637458423,0.35391651508305944
Cond00153,0.287170940192698,0.22005856673849056,0.3631076873541956
Cond00154,0.299710475836238,0.15589472767167833,0.3412678854223856
Cond00155,0.31287348900564793,0.19482143575931019,0.34980012011689526
Cond00156,0.2780993434785697,0.2152031113599166,0.3420789774200523
Cond00157,0.283284722089647,0.20815944126933061,0.34508807140820597
Cond00158,0.27592092683168434,0.1921992010390987,0.3360697183943655
Cond00159,0.29283302871164063,0.20370798322303466,0.34383734789244025
Cond00160,0.28345906550234956,0.2158657193574331,0.34138541221149626
Cond00161,0.2891599733712187,0.21079286235099887,0.35083235863993817
Cond00162,0.2752279947821845,0.226002995394588,0.3427892208290873
Cond00163,0.2641756546464055,0.23035546789042372,0.33492992958003787
Cond00164,0.2642167052257111,0.23352959769002826,0.33418763477702984
Cond00165,0.27739683320083075,0.23112433094181442,0.34019947662042993
Cond00166,0.2632685668024357,0.2420417891560337,0.33561621619052995
