compound,rho_gr,rho_exit_lag,rho_Nmax,classification
,-0.025307782312111962,-0.12925065150289264,-0.3619301165117742,NEUTRAL
Alanine,0.6237647565423362,-0.5648768279613063,0.8675596826275473,FEAST
AminobenzoicAcid,0.39194897214126284,0.2514189994711197,0.1096796646036829,NEUTRAL
Arginine/HCl,0.7048390749697939,-0.6005771306552015,0.67234635894204,FEAST
Asparagine/H2O,-0.3094584145188878,-0.20337279466171712,-0.03701010990362755,NEUTRAL
AsparticAcid,-0.3857547639331711,-0.04358112942540508,-0.21369449251830117,NEUTRAL
CaCl2/2H2O,-0.1761047673263512,-0.25668465655143297,0.15199686884846517,NEUTRAL
CaSO4/2H2O,-0.45915837471589943,-0.13937451603284934,-0.24068312850754298,NEUTRAL
CuSO4/5H2O,0.7336045218636126,-0.4681149327988929,0.7567211072328313,FEAST
Cystine/HCl/H2O,-0.4983406684849559,0.7895936145781653,-0.7134031062442756,PRIME
FeSO4/7H2O,0.7515444299212972,-0.47407267042180584,0.7684843737014151,FEAST
FolicAcid,-0.5734449227035942,0.6558451339303234,-0.8162890726251318,PRIME
Glucose,0.8116476960050041,-0.4979461170026291,0.8136386880957517,FEAST
GlutamicAcid/HCl,0.6473117782118573,-0.5808802332955685,0.8763143224865048,FEAST
Glutamine,0.6002483592505691,-0.7135003369661053,0.7892600842520878,FEAST
Glycine,-0.5271489018349234,0.23114329945356055,-0.4523547391233779,NEUTRAL
H3BO3,-0.30689334563810067,-0.20166153180950624,-0.0469557524022301,NEUTRAL
Histidine/HCl/H2O,-0.12426709883644974,0.23282436288973862,-0.5330370597095734,NEUTRAL
Isoleucine,0.23589485449632158,0.27271151442031116,-0.17977698325510075,NEUTRAL
K2HPO4,0.5849670386359301,-0.26192999879090034,0.5360476709454762,NEUTRAL
KCl,-0.25112390020180336,-0.12496667782744661,-0.022718182428934402,NEUTRAL
KH2PO4,0.21792609925507114,0.2893568866716065,-0.12356162028015034,NEUTRAL
Leucine,-0.16766351071575133,-0.27578780413119475,0.15588087526356864,NEUTRAL
Lysine/HCl,0.6509654492837852,-0.19618872303815388,0.5886060339764722,NEUTRAL
Methionine,0.22317071429565516,0.23746655788781873,-0.19387876956079836,NEUTRAL
MgCl2/6H2O,0.20554596284936175,-0.0922045683126263,0.5846515787235127,NEUTRAL
MgSO4/7H2O,0.13757794343694205,-0.627725813676966,0.22660804763659434,NEUTRAL
NH4Cl,0.6430003893086483,-0.17044783851305081,0.5481958584983726,NEUTRAL
Na2HPO4,-0.17287262619360388,0.17220501788300357,-0.574901554754237,NEUTRAL
Na2MoO4/2H2O,0.6481501535727053,-0.20147417672612103,0.5794984317613845,NEUTRAL
Na2S2O3/5H2O,0.28968297072844784,0.321437086357925,-0.06621761354136448,NEUTRAL
Na3C6H5O7/2H2O,0.5613390660457028,-0.7426765864162808,0.7540284422250407,FEAST
NaCl,0.6620201063182432,-0.5293695777699273,0.7136937703721525,FEAST
Phenylalanine,0.030733345731576333,-0.12582484956579018,-0.2742610262710911,NEUTRAL
Proline,0.2039744206728271,-0.14850470781839972,0.6116153180243957,NEUTRAL
Pyridoxine,-0.38478160173648274,0.29809731801699685,-0.16146259679375585,NEUTRAL
Riboflavin,0.20540386131642493,-0.1603379920092971,0.6139877785535984,NEUTRAL
Serine,-0.19454882355791386,-0.25901906750200016,0.15185834844237356,NEUTRAL
Thiamine/HCl,-0.39414153304699395,-0.05675895667758183,-0.22027792931186402,NEUTRAL
Threonine,0.558975081525085,-0.2576839413011182,0.32065544850896505,NEUTRAL
Tryptophan,-0.26079963414896395,-0.11907014184161625,-0.019502615391654685,NEUTRAL
Tyrosine,0.5897586267102959,-0.7099026614745619,0.7830953017543465,FEAST
Valine,0.1897668327422157,-0.14640688818438713,0.6052838514309897,NEUTRAL
ZuSO4/7H2O,0.46769106896369667,0.1544267549429462,0.2827066675191911,NEUTRAL
