compound,gr,exit_lag_rate,N_max
K2HPO4_(mM),0.5368521296941439,-0.149569904743391,0.5824896556003677
KH2PO4_(mM),-0.016160170475718733,0.36682298222058846,-0.08222358942798498
Na2HPO4_(mM),-0.5220567439644945,0.16713378148063956,-0.6002208641884248
Glucose_(mM),0.7726609703521667,-0.4147366977407364,0.8231314157958137
(NH4)2SO4_(mM),-0.33704612656224153,-0.1648076639011724,-0.4241983220041438
NH4Cl_(mM),0.5995717858144635,-0.06621565611302538,0.5977801693794171
Alanine_(mM),0.7335237734582634,-0.43875248019726926,0.8014071145478974
Arginine/HCl_(mM),0.5867068309220093,-0.5832549386873076,0.6208038184581944
Asparagine/H2O_(mM),-0.14880509903888559,-0.3249968278666285,-0.09749050161440202
AsparticAcid_(mM),-0.2866975893025955,-0.185321743551321,-0.26214611213363076
Cystine/HCl/H2O_(mM),-0.5047455558662619,0.6783746720773884,-0.5832277351519123
GlutamicAcid/HCl_(mM),0.7416230571643105,-0.45272351903923125,0.8108559467998429
Glutamine_(mM),0.6038527148119517,-0.6566236556137256,0.6687900241889569
Glycine_(mM),-0.4725900445229002,0.09676828286873207,-0.4847671950078362
Histidine/HCl/H2O_(mM),-0.45611477925303584,0.18105051602603403,-0.544582660918799
Isoleucine_(mM),-0.07978735445273523,0.3002932384132472,-0.17820398174050855
Leucine_(mM),0.06338623129717572,-0.39183452066487534,0.12788019333076242
Lysine/HCl_(mM),0.6157359428668463,-0.09153706731807147,0.6184148638883009
Methionine_(mM),-0.10032893896894648,0.2881900006981764,-0.19733117890976437
Phenylalanine_(mM),-0.27198875273188,-0.19047202948617598,-0.3242251560880383
Proline_(mM),0.5446615328589606,-0.13638845507691408,0.6253480947720307
Serine_(mM),0.03262362138027516,-0.37807556695058875,0.10635080515372378
Threonine_(mM),0.3269882453403765,-0.22960708396609458,0.2947014006644233
Tryptophan_(mM),-0.09820531307332961,-0.269070629671851,-0.05489686461834283
Tyrosine_(mM),0.5924536317302415,-0.6501061710148316,0.6595378239690339
Valine_(mM),0.5260039740679738,-0.13404151451230695,0.6151041381623512
KCl_(mM),-0.10243152065878665,-0.26906361778614746,-0.06058013115453842
NaCl_(mM),0.6570870349292107,-0.3738210247598194,0.682524446907534
MgSO4/7H2O_(mM),0.03444733490035835,-0.6572880147858033,0.09875154879684048
MgCl2/6H2O_(mM),0.5300889183222937,-0.09493354731204523,0.605359121440905
CaCl2/2H2O_(mM),0.04405333565254677,-0.3817432551496061,0.11080143981718676
CaSO4/2H2O_(mM),-0.35256070160843445,-0.26912573859230865,-0.2924107179058647
Na3C6H5O7/2H2O_(mM),0.5828575988923577,-0.6221832465369691,0.604624543443058
Na2S2O3/5H2O_(mM),0.0817612894062358,0.4118869644252868,0.004201729217211589
FeSO4/7H2O_(mM),0.7406421782339365,-0.38426898539132565,0.7765211015253395
CuSO4/5H2O_(mM),0.7183266701521649,-0.3799792770547979,0.7579805456660479
Na2MoO4/2H2O_(mM),0.6076161824065918,-0.09751990578063177,0.6123388107580564
ZuSO4/7H2O_(mM),0.37660458445510847,0.26361550639771364,0.33852867322394425
Thiamine/HCl_(mM),-0.28924937561121916,-0.19774405869296002,-0.2688922576541592
Pyridoxine_(mM),-0.13916422518769928,0.2129475810621179,-0.12536987085355236
FolicAcid_(mM),-0.6727237103632897,0.48398655788924894,-0.74916925857169
Riboflavin_(mM),0.5380963546499743,-0.15474358110860953,0.6347832990698111
H3BO3_(mM),-0.15384947878164898,-0.3243204143892765,-0.10486029172141
AminobenzoicAcid_(mM),0.23390797717991177,0.3526022239991844,0.17521784265386683
