compound,importance
"MgCl2/6H2O
(mM)",0.1564545632048184
"Valine
(mM)",0.1416033251558058
"Riboflavin
(mM)",0.09058834022574862
"K2HPO4
(mM)",0.08153341070848359
"Na3C6H5O7/2H2O
(mM)",0.06280793834587398
"MgSO4/7H2O
(mM)",0.047564480650349586
"(NH4)2SO4
(mM)",0.04345837685016281
"Serine
(mM)",0.0312594327274447
"Tyrosine
(mM)",0.028621653742864434
"Glucose
(mM)",0.022630623222172856
"Na2HPO4
(mM)",0.022310687394475878
"CaCl2/2H2O
(mM)",0.02227783811622793
"CaSO4/2H2O
(mM)",0.01953428573796688
"Proline
(mM)",0.018038613948339926
"Isoleucine
(mM)",0.01748104312617689
"Alanine
(mM)",0.01600344793784073
"Glycine
(mM)",0.015072067000242228
"NaCl
(mM)",0.014397987983074996
"Glutamine
(mM)",0.013132978560205311
"FeSO4/7H2O
(mM)",0.011193418593614177
"Cystine/HCl/H2O
(mM)",0.009951822478168245
"GlutamicAcid/HCl
(mM)",0.00956381374560264
"NH4Cl
(mM)",0.008790518863739516
"Histidine/HCl/H2O
(mM)",0.008391049911106601
"AminobenzoicAcid
(mM)",0.006989916449024219
"FolicAcid
(mM)",0.006874254814896675
"Arginine/HCl
(mM)",0.006803480283101474
"H3BO3
(mM)",0.006675248929305785
"KH2PO4
(mM)",0.006083582248104451
"Phenylalanine
(mM)",0.00599839497054981
"CuSO4/5H2O
(mM)",0.0053602659584312436
"Asparagine/H2O
(mM)",0.005176587796884351
"ZuSO4/7H2O
(mM)",0.005010969584655498
"Na2S2O3/5H2O
(mM)",0.004992569538791658
"Lysine/HCl
(mM)",0.004909956787142947
"Thiamine/HCl
(mM)",0.004253274421177533
"Methionine
(mM)",0.0038134054788586795
"Na2MoO4/2H2O
(mM)",0.0037351604261210997
"Tryptophan
(mM)",0.0028618787666646354
"KCl
(mM)",0.0027812613150136273
"Leucine
(mM)",0.002504763300515858
"Pyridoxine
(mM)",0.0015497529178882612
"Threonine
(mM)",0.0008362841178642202
"AsparticAcid
(mM)",0.0001272736645012941
