compound,importance
"K2HPO4
(mM)",0.28802184593115343
"Isoleucine
(mM)",0.11409151947431201
"Na2HPO4
(mM)",0.07412937378923504
"(NH4)2SO4
(mM)",0.049044621449333824
"CaSO4/2H2O
(mM)",0.037774442481304085
"Na3C6H5O7/2H2O
(mM)",0.037052556550849484
"KH2PO4
(mM)",0.03479760867942221
"Na2MoO4/2H2O
(mM)",0.026878139359158493
"MgCl2/6H2O
(mM)",0.024007845131836857
"MgSO4/7H2O
(mM)",0.02231142682011923
"Na2S2O3/5H2O
(mM)",0.020366634958957297
"Tryptophan
(mM)",0.019929065844065244
"AminobenzoicAcid
(mM)",0.019093797799898164
"Methionine
(mM)",0.018969387405797202
"Valine
(mM)",0.018004091041295647
"Asparagine/H2O
(mM)",0.01745901739243101
"ZuSO4/7H2O
(mM)",0.017058194370827787
"Cystine/HCl/H2O
(mM)",0.013885414212159266
"FolicAcid
(mM)",0.013098344802953566
"FeSO4/7H2O
(mM)",0.012873698672662947
"GlutamicAcid/HCl
(mM)",0.010009770221424607
"KCl
(mM)",0.009890416212343198
"Glutamine
(mM)",0.009006626373412338
"H3BO3
(mM)",0.0071015789252972805
"Pyridoxine
(mM)",0.007098752265114786
"CaCl2/2H2O
(mM)",0.006387174056661622
"NaCl
(mM)",0.0059798922254430155
"Threonine
(mM)",0.0059059834382355755
"Thiamine/HCl
(mM)",0.005550067568007808
"Glucose
(mM)",0.005526312852046951
"Tyrosine
(mM)",0.005094619209674095
"Histidine/HCl/H2O
(mM)",0.004660701751124918
"Riboflavin
(mM)",0.004569807580997954
"NH4Cl
(mM)",0.004173740738336212
"Glycine
(mM)",0.0041400745558847546
"Phenylalanine
(mM)",0.003925326327680938
"Leucine
(mM)",0.003859730419072404
"Alanine
(mM)",0.0038302785776453217
"Arginine/HCl
(mM)",0.003829949754789763
"Proline
(mM)",0.0034417953066048558
"CuSO4/5H2O
(mM)",0.0030220665659088995
"AsparticAcid
(mM)",0.002162467134770938
"Lysine/HCl
(mM)",0.0017124234866274346
"Serine
(mM)",0.00027341828512147286
