compound,gr,N_max_emp
K2HPO4_(mM),0.5143334811471114,0.5625687888966037
KH2PO4_(mM),0.03617105413024198,-0.05166186677974456
Na2HPO4_(mM),-0.4476241855857976,-0.5158300137490157
Glucose_(mM),0.7863383271363855,0.80205047022886
(NH4)2SO4_(mM),-0.24904719165636202,-0.33723115154580297
NH4Cl_(mM),0.5960592293037293,0.5646477172303705
Alanine_(mM),0.7660445973950952,0.8146103018648174
Arginine/HCl_(mM),0.6543196661512504,0.6557121669737453
Asparagine/H2O_(mM),-0.14171589552643435,-0.09003773498740428
AsparticAcid_(mM),-0.2705327778727845,-0.2546236321289317
Cystine/HCl/H2O_(mM),-0.5474228980932639,-0.6392199432980566
GlutamicAcid/HCl_(mM),0.7730482535054921,0.8258496744135762
Glutamine_(mM),0.6883010711323869,0.7336506512499998
Glycine_(mM),-0.45364436644311806,-0.46288569103724175
Histidine/HCl/H2O_(mM),-0.3745887627161645,-0.47223492882344587
Isoleucine_(mM),0.01014376156562175,-0.09799628302141007
Leucine_(mM),0.06529582053827343,0.11938308511074475
Lysine/HCl_(mM),0.6244676144820962,0.6010264671404241
Methionine_(mM),-0.009147773493758192,-0.11360650733551331
Phenylalanine_(mM),-0.1755453132259441,-0.24418068184829303
Proline_(mM),0.49101639863962654,0.5567762637919194
Serine_(mM),0.034600885639075755,0.0930046457477885
Threonine_(mM),0.4037239042386322,0.35146029906389525
Tryptophan_(mM),-0.08662553750072273,-0.0656341991502686
Tyrosine_(mM),0.6783221129538223,0.7277061570737625
Valine_(mM),0.4714625725426795,0.5360245611948554
KCl_(mM),-0.0900928069925758,-0.06952690950987811
NaCl_(mM),0.6498154000215759,0.6832675893107597
MgSO4/7H2O_(mM),0.13893177651663305,0.18787618484924884
MgCl2/6H2O_(mM),0.47794196446531323,0.5244298619504143
CaCl2/2H2O_(mM),0.04275616334421636,0.09698337485608086
CaSO4/2H2O_(mM),-0.3548933128048141,-0.28063335668388845
Na3C6H5O7/2H2O_(mM),0.6657573365055732,0.7015547058200771
Na2S2O3/5H2O_(mM),0.09985262894537951,0.010358716287869852
FeSO4/7H2O_(mM),0.7581699161486836,0.7616692385708344
CuSO4/5H2O_(mM),0.7349581973917797,0.7409701404269593
Na2MoO4/2H2O_(mM),0.6132096752924534,0.5929985914791089
ZuSO4/7H2O_(mM),0.38415720819876614,0.3290411837559393
Thiamine/HCl_(mM),-0.2726676738959339,-0.26093761911226687
Pyridoxine_(mM),-0.17911553082149662,-0.17779389659261546
FolicAcid_(mM),-0.6790778270740566,-0.7638409611669452
Riboflavin_(mM),0.47580841406864793,0.5451316665749525
H3BO3_(mM),-0.14782492091690025,-0.09983858622377952
AminobenzoicAcid_(mM),0.24379941449859682,0.17338545520889057
