compound,importance
Glucose_(mM),0.15066720677469372
FeSO4/7H2O_(mM),0.14727673746366268
CuSO4/5H2O_(mM),0.09785593093064915
Glutamine_(mM),0.07813361654635044
Tyrosine_(mM),0.07228688806435928
Na3C6H5O7/2H2O_(mM),0.0645237235567143
GlutamicAcid/HCl_(mM),0.06209710797531136
Alanine_(mM),0.05725907619935775
Arginine/HCl_(mM),0.044855459931764013
NaCl_(mM),0.04481131629670882
Leucine_(mM),0.02809997476049787
Serine_(mM),0.01656893732023176
Cystine/HCl/H2O_(mM),0.015195983866030001
MgCl2/6H2O_(mM),0.011982026632988614
FolicAcid_(mM),0.010160912365668635
KH2PO4_(mM),0.010079554193075968
Methionine_(mM),0.00865708405157005
Histidine/HCl/H2O_(mM),0.008420974012474448
CaCl2/2H2O_(mM),0.008406607394402112
Valine_(mM),0.00833888358781462
Riboflavin_(mM),0.006590353901948545
K2HPO4_(mM),0.006196044032452674
Proline_(mM),0.006102201566029636
ZuSO4/7H2O_(mM),0.005395275666873416
Isoleucine_(mM),0.005395263795511671
Na2MoO4/2H2O_(mM),0.004119631309598713
Lysine/HCl_(mM),0.002459699191095019
Na2HPO4_(mM),0.002388284333387008
(NH4)2SO4_(mM),0.0019168747889075452
MgSO4/7H2O_(mM),0.0015978176748365966
NH4Cl_(mM),0.001532642209467511
H3BO3_(mM),0.0014603456077690042
Thiamine/HCl_(mM),0.0013247289982159696
Phenylalanine_(mM),0.0011788709689425486
Threonine_(mM),0.0010504558922947622
Na2S2O3/5H2O_(mM),0.0009793376171908395
Tryptophan_(mM),0.0009190223079303334
AminobenzoicAcid_(mM),0.0008405558933775305
CaSO4/2H2O_(mM),0.0006806517663878899
Glycine_(mM),0.0006162217703426268
AsparticAcid_(mM),0.0005531940595747588
Asparagine/H2O_(mM),0.00047774196745596533
KCl_(mM),0.0003627214532125674
Pyridoxine_(mM),0.00018406130287132552
