compound,importance
FeSO4/7H2O_(mM),0.14392164215539083
Glucose_(mM),0.13997193211895131
CuSO4/5H2O_(mM),0.08363100360710207
Na3C6H5O7/2H2O_(mM),0.0816265181883156
GlutamicAcid/HCl_(mM),0.06487459483042257
Alanine_(mM),0.06035809427021122
Glutamine_(mM),0.059249897055421615
Tyrosine_(mM),0.05426948313113953
NaCl_(mM),0.042044252788395034
Arginine/HCl_(mM),0.02827457202766237
Leucine_(mM),0.023826427581120413
K2HPO4_(mM),0.01847368839860848
CaSO4/2H2O_(mM),0.017171577995573638
FolicAcid_(mM),0.014120009896684067
Na2HPO4_(mM),0.013646653972968771
MgSO4/7H2O_(mM),0.011326027981040598
CaCl2/2H2O_(mM),0.010788083662770755
ZuSO4/7H2O_(mM),0.01068415769824924
Na2MoO4/2H2O_(mM),0.010507593642601848
Valine_(mM),0.009663953872982588
Riboflavin_(mM),0.009517889046585104
Serine_(mM),0.009232082773873593
Cystine/HCl/H2O_(mM),0.009038956857841923
Tryptophan_(mM),0.007795083635060931
Glycine_(mM),0.0071734062334206485
(NH4)2SO4_(mM),0.006801724492869666
Isoleucine_(mM),0.00648534622437577
AsparticAcid_(mM),0.005375898938017895
H3BO3_(mM),0.005358462531907009
Lysine/HCl_(mM),0.004694825050252332
Histidine/HCl/H2O_(mM),0.003932334999914826
MgCl2/6H2O_(mM),0.0032330535802614453
Thiamine/HCl_(mM),0.002930878452504422
Proline_(mM),0.0029139939723491605
AminobenzoicAcid_(mM),0.002823870266866015
Methionine_(mM),0.002254506080489806
Na2S2O3/5H2O_(mM),0.002049743204957348
Phenylalanine_(mM),0.0019381657941799236
Asparagine/H2O_(mM),0.0018609746303036398
Pyridoxine_(mM),0.001684967147013923
KCl_(mM),0.001488555974707507
KH2PO4_(mM),0.0012559276484305957
NH4Cl_(mM),0.0010597272960109862
Threonine_(mM),0.00066946029219303
