compound,importance
KH2PO4_(mM),0.1757321292441667
K2HPO4_(mM),0.09825838745969405
Serine_(mM),0.0819248637791828
Isoleucine_(mM),0.0597434161671472
Leucine_(mM),0.05682276278976448
NaCl_(mM),0.04760040894406003
Proline_(mM),0.04618024014595447
Tyrosine_(mM),0.042008993018004634
GlutamicAcid/HCl_(mM),0.033567360499476145
Riboflavin_(mM),0.026669300399909713
Alanine_(mM),0.023984630576448274
ZuSO4/7H2O_(mM),0.02359449505630029
Methionine_(mM),0.02355100018767026
Glutamine_(mM),0.01968506762324352
FolicAcid_(mM),0.019374146488020758
MgSO4/7H2O_(mM),0.017903651543050028
FeSO4/7H2O_(mM),0.017261827794110396
Valine_(mM),0.016526657230695217
Histidine/HCl/H2O_(mM),0.014628486515812751
Glucose_(mM),0.01307107308212331
CaCl2/2H2O_(mM),0.011941513005098565
CaSO4/2H2O_(mM),0.011358804856968606
Cystine/HCl/H2O_(mM),0.01090572327388158
AminobenzoicAcid_(mM),0.010812066194798828
CuSO4/5H2O_(mM),0.010690872898525425
H3BO3_(mM),0.010466403097559212
AsparticAcid_(mM),0.010452244753455665
Na3C6H5O7/2H2O_(mM),0.010296847406466586
(NH4)2SO4_(mM),0.009597482798218312
Arginine/HCl_(mM),0.008024010755924455
Asparagine/H2O_(mM),0.007514338313543523
Tryptophan_(mM),0.005944767582538078
MgCl2/6H2O_(mM),0.005900108452873372
Lysine/HCl_(mM),0.003890646323918744
Na2MoO4/2H2O_(mM),0.0029393940093959984
Na2S2O3/5H2O_(mM),0.0024997984957193585
Na2HPO4_(mM),0.0018305904631558823
Glycine_(mM),0.0014338145493145644
Thiamine/HCl_(mM),0.0013603790281821698
Threonine_(mM),0.0013087055375490134
Pyridoxine_(mM),0.0009740850694086584
KCl_(mM),0.0006992610088023345
Phenylalanine_(mM),0.0006623960959279402
NH4Cl_(mM),0.0004068474839381052
