compound,permutation_importance_std,permutation_importance
Glucose_(mM),0.006492752884165386,0.1465432946390738
Leucine_(mM),0.005959711294580498,0.061626221513057855
Na3C6H5O7/2H2O_(mM),0.005381281090245087,0.05670724331457677
FeSO4/7H2O_(mM),0.00393640603073365,0.034815007532711585
Glutamine_(mM),0.002350124799738229,0.01828535478371377
GlutamicAcid/HCl_(mM),0.000893741223740843,0.008188705162675215
Tyrosine_(mM),0.0005069903078008071,0.006825171885914116
CuSO4/5H2O_(mM),0.0015066065439819554,0.006745500491196976
Arginine/HCl_(mM),0.0006801381732399467,0.006416903998459811
Alanine_(mM),0.0005362827071026262,0.004607084967428021
NaCl_(mM),0.00031989097632004513,0.003771249898043394
KH2PO4_(mM),0.0007654312143461986,0.0028341101073014905
Na2HPO4_(mM),0.00047471245687616257,0.002698620469661306
K2HPO4_(mM),0.00027148018848827343,0.0023833397954337366
MgSO4/7H2O_(mM),0.00027333441600643836,0.002047626606806641
Histidine/HCl/H2O_(mM),0.0004091672295334115,0.001789585461981358
Valine_(mM),0.0001789943598281937,0.001602059097176234
Proline_(mM),0.0005302727221386328,0.0015084673694168217
CaCl2/2H2O_(mM),0.00022378359478034368,0.0013712775270076194
ZuSO4/7H2O_(mM),0.00020887296818942363,0.0012955887033833991
Lysine/HCl_(mM),8.781748155245066e-05,0.001281962668640113
Serine_(mM),0.00035656030207529204,0.0011513956793396507
(NH4)2SO4_(mM),0.0002849062282548229,0.001098965993680756
AminobenzoicAcid_(mM),0.00032841740160057263,0.0010227293897906887
MgCl2/6H2O_(mM),0.00026651163683405693,0.0009936407223757882
NH4Cl_(mM),0.00015086939577640032,0.00098258638002795
Riboflavin_(mM),0.00022808375182895198,0.0009484195865311462
FolicAcid_(mM),0.00024210690479863368,0.0009263510461619218
Cystine/HCl/H2O_(mM),0.00013382686197068152,0.000820786595215417
Threonine_(mM),0.00010733454885241022,0.0007443312343961228
Na2S2O3/5H2O_(mM),0.00017618836426124587,0.0007088423533606281
Isoleucine_(mM),9.561822109959316e-05,0.0006797681471267247
Methionine_(mM),0.00018355348527933327,0.0004819742205670385
Na2MoO4/2H2O_(mM),0.00014857177606061723,0.0004700135546780837
CaSO4/2H2O_(mM),9.645408755173693e-05,0.0004322238663654665
Phenylalanine_(mM),6.166851765551923e-05,0.0004013490898798433
Tryptophan_(mM),0.00013845224016219965,0.00031862554244090904
KCl_(mM),0.00015438566327195696,0.00026126232103023116
Thiamine/HCl_(mM),9.000856936848213e-05,0.00023865889323979595
Pyridoxine_(mM),4.114587621260554e-05,0.00021119548986878734
AsparticAcid_(mM),0.00017023715957754186,0.00017029965333070773
Glycine_(mM),6.48695444157641e-05,8.976891283921651e-05
Asparagine/H2O_(mM),0.00012741892514533184,6.636266693703652e-05
H3BO3_(mM),0.00011442508683620526,-0.0001416967874157904
