compound,permutation_importance_std,permutation_importance
Glucose_(mM),0.011883475859319339,0.11927525888293236
Na3C6H5O7/2H2O_(mM),0.011748261271307263,0.10090892665914816
FeSO4/7H2O_(mM),0.007870315637890724,0.06598551933321233
Leucine_(mM),0.00724372740521264,0.05001183103682823
Glutamine_(mM),0.003015420617534388,0.012545924590992153
GlutamicAcid/HCl_(mM),0.0018260542026374653,0.012173014617687761
CuSO4/5H2O_(mM),0.0029114462792913247,0.010030857002795934
CaSO4/2H2O_(mM),0.0015441860569863817,0.009953073847608396
Isoleucine_(mM),0.000835752346104111,0.007510073934696359
Tyrosine_(mM),0.000673842578278085,0.00689525596451539
Alanine_(mM),0.0006147982058146863,0.00612962646326527
K2HPO4_(mM),0.0012116722577182526,0.005953377780580438
(NH4)2SO4_(mM),0.0018826733349256782,0.0054175753254208205
MgSO4/7H2O_(mM),0.0008384370396081367,0.0050854978120740135
Valine_(mM),0.0006617833294383576,0.004324567585970995
Na2HPO4_(mM),0.0003894837210826838,0.0029838540586641484
Arginine/HCl_(mM),0.0004692514355472951,0.0029644868083357314
Tryptophan_(mM),0.00042272883617582463,0.0024235393985297836
CaCl2/2H2O_(mM),0.0003703361431631813,0.0022715498396859934
Serine_(mM),0.0007698345622119691,0.0022389915040316177
Cystine/HCl/H2O_(mM),0.0007815226380461122,0.0020700750665891055
NaCl_(mM),0.0009923725894936501,0.0017638994279120523
FolicAcid_(mM),0.00024408374906441689,0.001604782364418167
Histidine/HCl/H2O_(mM),0.0003873832976599317,0.0015999178644081735
AsparticAcid_(mM),0.0009221955364962316,0.0015646580290849866
Lysine/HCl_(mM),0.0002948150356062042,0.0015619557192133704
Riboflavin_(mM),0.00025312678561960106,0.0015534048329279514
Methionine_(mM),0.0005616820899709038,0.0014621829629235638
Proline_(mM),0.0007505691645820509,0.0013240975130899614
Glycine_(mM),0.0003253550791474384,0.001311699914202824
MgCl2/6H2O_(mM),0.0002172905531136924,0.0010496833109644777
H3BO3_(mM),0.00016568239451867167,0.0009796114818497736
ZuSO4/7H2O_(mM),0.0004167034438158907,0.0009085067107930667
Na2MoO4/2H2O_(mM),0.00022456504470784607,0.0008931287938073518
KH2PO4_(mM),0.00033794075936377114,0.0008362921878642849
Thiamine/HCl_(mM),0.00010248981055478559,0.0006343753499723715
NH4Cl_(mM),0.0004209128663866532,0.000618525484630017
AminobenzoicAcid_(mM),0.00045076732671797914,0.000587052550647571
Threonine_(mM),0.00038408674985658395,0.000584438970950052
Na2S2O3/5H2O_(mM),0.000345847239682914,0.000538505708705217
Pyridoxine_(mM),0.00023267639445680657,0.00046846788872217937
Phenylalanine_(mM),0.00021953003726430458,0.00046478390441169194
KCl_(mM),0.00021479679163139778,0.00041897816519290696
Asparagine/H2O_(mM),0.00019432450698049738,0.0004047567163009913
