compound,permutation_importance_std,permutation_importance
K2HPO4_(mM),0.0015885562714014925,0.0781616348931216
NaCl_(mM),0.007394471938011207,0.006292168591499681
ZuSO4/7H2O_(mM),0.003520750191964665,0.005051311503560652
KH2PO4_(mM),0.005727962742413338,0.00474233921178333
MgCl2/6H2O_(mM),0.0026323890349295126,0.003592019508040378
FeSO4/7H2O_(mM),0.001575574396593315,0.0032566089629130655
Thiamine/HCl_(mM),0.0026436999410965035,0.0029310473494679632
AsparticAcid_(mM),0.0026046299454349333,0.0027029318425991987
CuSO4/5H2O_(mM),0.0015288315362330888,0.002308520812389936
Cystine/HCl/H2O_(mM),0.0032383588000171794,0.002263992818090954
GlutamicAcid/HCl_(mM),0.0020725907347875724,0.002165930289325613
Glucose_(mM),0.002571751428197154,0.0019014223669006846
(NH4)2SO4_(mM),0.001676022838474394,0.0014957118394720136
Alanine_(mM),0.0020745108949464506,0.0012662514857677333
AminobenzoicAcid_(mM),0.0012354724014826872,0.0009435026271453206
MgSO4/7H2O_(mM),0.0014303626428608092,0.0009188638565619355
CaSO4/2H2O_(mM),0.0011986922190156432,0.0007384772325362832
Methionine_(mM),0.0013718905378413894,0.0006159854281373778
Proline_(mM),0.000432305426388069,0.0005803515844788554
Tryptophan_(mM),0.00045782053181378887,0.00029756879867859354
Glutamine_(mM),0.00041245107452774903,0.00018636169349465215
H3BO3_(mM),0.0001829726433519359,0.00018635613196789081
Asparagine/H2O_(mM),0.00023558596533949542,0.00014925415279199995
CaCl2/2H2O_(mM),0.00020047487514348756,0.0001205269713972612
Riboflavin_(mM),6.191287637099185e-05,0.0001017889992912635
Pyridoxine_(mM),0.0001262954452173501,7.84759527769463e-05
Arginine/HCl_(mM),7.921419775955143e-05,7.838900284732331e-05
FolicAcid_(mM),0.00010037114127530549,6.564483794193609e-05
Na2MoO4/2H2O_(mM),0.000113425308833636,6.132202100319616e-05
Na2S2O3/5H2O_(mM),8.712506936778372e-05,5.009613207409558e-05
KCl_(mM),4.035170364308065e-05,3.926874764738075e-05
Valine_(mM),0.00015614993463375804,3.8422371513668895e-05
Leucine_(mM),0.00027185257129418985,3.5515825408505286e-05
Tyrosine_(mM),0.0001618392765640136,3.5344688734118e-05
Lysine/HCl_(mM),6.413866578713212e-05,2.0436771366483253e-05
Histidine/HCl/H2O_(mM),0.00010781878650358257,1.7528310853598405e-05
Glycine_(mM),6.73155533586087e-05,1.7049461671603262e-05
Isoleucine_(mM),3.422490025722728e-05,1.4575852027176594e-05
Na3C6H5O7/2H2O_(mM),4.80693524656131e-05,1.4203082869679307e-05
Serine_(mM),8.351782976927211e-05,1.0043232156042859e-05
Threonine_(mM),1.4034402789816355e-14,1.0336176359260207e-14
Na2HPO4_(mM),3.7710557244395034e-15,-6.7501559897209515e-15
Phenylalanine_(mM),7.052549445291845e-05,-1.3630378647322416e-06
NH4Cl_(mM),1.6088538094425965e-06,-8.514374525969703e-06
