compound,gr,lag_loglin,N_max_emp
K2HPO4_(mM),0.5368521296941439,0.1265417957458158,0.5939737439519672
KH2PO4_(mM),-0.016160170475718733,-0.3684161202910276,-0.054802794033703785
Na2HPO4_(mM),-0.5220567439644945,-0.16211246791442316,-0.574483435206294
Glucose_(mM),0.7726609703521667,0.39416949219116953,0.8179202570116599
(NH4)2SO4_(mM),-0.33704612656224153,0.20099517222938512,-0.41501442783194636
NH4Cl_(mM),0.5995717858144635,0.035419211347717056,0.6015213942099715
Alanine_(mM),0.7335237734582634,0.42669893894826644,0.7801105350223154
Arginine/HCl_(mM),0.5867068309220093,0.5920533496611471,0.6060538860083895
Asparagine/H2O_(mM),-0.14880509903888559,0.3593245272630861,-0.13009191772216713
AsparticAcid_(mM),-0.2866975893025955,0.22459825295806382,-0.2908850564409685
Cystine/HCl/H2O_(mM),-0.5047455558662619,-0.6768759525371512,-0.5687047065633385
GlutamicAcid/HCl_(mM),0.7416230571643105,0.4401556605119946,0.7902149490696952
Glutamine_(mM),0.6038527148119517,0.6648157868081266,0.6427638657034117
Glycine_(mM),-0.4725900445229002,-0.06572502921061264,-0.49891276291406084
Histidine/HCl/H2O_(mM),-0.45611477925303584,-0.15390520279415631,-0.5277673200078277
Isoleucine_(mM),-0.07978735445273523,-0.30400373737111114,-0.14910882719548876
Leucine_(mM),0.06338623129717572,0.4135146284877743,0.09221324389111378
Lysine/HCl_(mM),0.6157359428668463,0.06999994431952974,0.6218054050899948
Methionine_(mM),-0.10032893896894648,-0.28763347161511715,-0.17080025934414286
Phenylalanine_(mM),-0.27198875273188,0.23235512940324252,-0.3230329898755557
Proline_(mM),0.5446615328589606,0.11611537108765523,0.5989886582555684
Serine_(mM),0.03262362138027516,0.4112924151161186,0.06622882992665724
Threonine_(mM),0.3269882453403765,0.2354597156354423,0.3000228683046531
Tryptophan_(mM),-0.09820531307332961,0.3098744766632158,-0.09030518190125751
Tyrosine_(mM),0.5924536317302415,0.6606188320999175,0.6332592252699449
Valine_(mM),0.5260039740679738,0.1197142521226237,0.5774965853358988
KCl_(mM),-0.10243152065878665,0.30699728268867227,-0.09657562830961457
NaCl_(mM),0.6570870349292107,0.34651562097032934,0.68333206136573
MgSO4/7H2O_(mM),0.03444733490035835,0.7032560274744071,0.07245869297211238
MgCl2/6H2O_(mM),0.5300889183222937,0.08195261292657867,0.5754953969485094
CaCl2/2H2O_(mM),0.04405333565254677,0.4127240495653127,0.07245936636980761
CaSO4/2H2O_(mM),-0.35256070160843445,0.30601635776095615,-0.31954885777728337
Na3C6H5O7/2H2O_(mM),0.5828575988923577,0.6201451137152872,0.6019259203185277
Na2S2O3/5H2O_(mM),0.0817612894062358,-0.4391461872101788,0.03268664992387582
FeSO4/7H2O_(mM),0.7406421782339365,0.36838070242682724,0.7693026053681961
CuSO4/5H2O_(mM),0.7183266701521649,0.3666829090783878,0.7491786733754436
Na2MoO4/2H2O_(mM),0.6076161824065918,0.07402988315465657,0.6160061236596511
ZuSO4/7H2O_(mM),0.37660458445510847,-0.2946445166752209,0.35696524954396824
Thiamine/HCl_(mM),-0.28924937561121916,0.23842251692053104,-0.2965139586803792
Pyridoxine_(mM),-0.13916422518769928,-0.20058802010162835,-0.14804815477990563
FolicAcid_(mM),-0.6727237103632897,-0.4646966540672834,-0.7410694935324139
Riboflavin_(mM),0.5380963546499743,0.13523978257605687,0.5965519309949381
H3BO3_(mM),-0.15384947878164898,0.35790366090599934,-0.1379457950786342
AminobenzoicAcid_(mM),0.23390797717991177,-0.3823639681982915,0.20084288936230063
