compound,importance
Glucose_(mM),0.8498884368562728
Leucine_(mM),0.03392505546296344
Na3C6H5O7/2H2O_(mM),0.03269433166290733
FeSO4/7H2O_(mM),0.018996580886051863
Valine_(mM),0.013436794262164358
Lysine/HCl_(mM),0.012321179439362711
Tyrosine_(mM),0.00440017225257502
MgCl2/6H2O_(mM),0.004319500018317173
Threonine_(mM),0.004147058158310035
K2HPO4_(mM),0.002722028818535389
Isoleucine_(mM),0.00246011221390151
NH4Cl_(mM),0.0023803112946072474
Na2S2O3/5H2O_(mM),0.0021103044973412757
Arginine/HCl_(mM),0.0020189961154036835
Na2MoO4/2H2O_(mM),0.0018670905349920974
AminobenzoicAcid_(mM),0.0017572292141523882
MgSO4/7H2O_(mM),0.0016548269027541857
ZuSO4/7H2O_(mM),0.0014664138738986103
Proline_(mM),0.001355379703432184
Methionine_(mM),0.0009898748091083237
(NH4)2SO4_(mM),0.0007817215663112343
CuSO4/5H2O_(mM),0.0006929053289583819
KH2PO4_(mM),0.0006685882807225925
Na2HPO4_(mM),0.0006025357730797398
Alanine_(mM),0.00027003458853497493
NaCl_(mM),0.00026861640906391957
GlutamicAcid/HCl_(mM),0.0002647040244189923
Glutamine_(mM),0.00021643556458621357
Serine_(mM),0.00019898600121674142
CaCl2/2H2O_(mM),0.00018332945839981182
CaSO4/2H2O_(mM),0.00015161430805377135
Riboflavin_(mM),0.00014768601695089488
Cystine/HCl/H2O_(mM),9.721283956775945e-05
KCl_(mM),9.693408441596969e-05
Thiamine/HCl_(mM),8.29888395487199e-05
FolicAcid_(mM),8.01550502635281e-05
H3BO3_(mM),7.136268145213425e-05
Histidine/HCl/H2O_(mM),5.474395534044554e-05
AsparticAcid_(mM),5.130638474187516e-05
Tryptophan_(mM),4.2602555351845887e-05
Pyridoxine_(mM),3.236835099825062e-05
Asparagine/H2O_(mM),1.604475239976834e-05
Phenylalanine_(mM),8.05788804359036e-06
Glycine_(mM),7.388320527220845e-06
