compound,importance
Glucose_(mM),0.7070676296902314
Na3C6H5O7/2H2O_(mM),0.07487001789084378
FeSO4/7H2O_(mM),0.03772652844785825
Isoleucine_(mM),0.030675874244723726
K2HPO4_(mM),0.028998732131452983
Valine_(mM),0.02773468397105019
AsparticAcid_(mM),0.02124057645676191
CaSO4/2H2O_(mM),0.011170714965854629
KH2PO4_(mM),0.011019939403372028
(NH4)2SO4_(mM),0.01053453597808978
Leucine_(mM),0.006136416325701387
MgSO4/7H2O_(mM),0.0036232354538758885
MgCl2/6H2O_(mM),0.0034420310521879314
Tryptophan_(mM),0.002023220520450541
GlutamicAcid/HCl_(mM),0.001986543678367812
AminobenzoicAcid_(mM),0.001830703874046879
Methionine_(mM),0.0016503380530174861
Alanine_(mM),0.0015435877338142463
Tyrosine_(mM),0.0013788689350009084
Cystine/HCl/H2O_(mM),0.001225919802404692
Proline_(mM),0.001182370173711194
Na2HPO4_(mM),0.001161966270270983
Histidine/HCl/H2O_(mM),0.001155560557576525
Lysine/HCl_(mM),0.0010389306980137694
Threonine_(mM),0.0010180969943332575
FolicAcid_(mM),0.00098868958153625
Arginine/HCl_(mM),0.0008242710366475846
Glutamine_(mM),0.000777852208421966
Glycine_(mM),0.0007308886907861162
Na2S2O3/5H2O_(mM),0.0007148751375069571
CuSO4/5H2O_(mM),0.0006062003919203818
ZuSO4/7H2O_(mM),0.0005939129509632446
CaCl2/2H2O_(mM),0.0005427430867300009
Na2MoO4/2H2O_(mM),0.0005392383537010871
Serine_(mM),0.000373451493438542
Riboflavin_(mM),0.0003687773470443741
H3BO3_(mM),0.00031669314478482486
NH4Cl_(mM),0.00030839559215357963
NaCl_(mM),0.0002717398109213586
Pyridoxine_(mM),0.0002597457426957866
Phenylalanine_(mM),0.00021335383015698667
Asparagine/H2O_(mM),6.632775777620148e-05
KCl_(mM),4.258553191946495e-05
Thiamine/HCl_(mM),2.3235007883270338e-05
