compound,importance
Serine_(mM),0.34963175192729945
KH2PO4_(mM),0.18413657360087055
Leucine_(mM),0.0776625906019455
ZuSO4/7H2O_(mM),0.04914693110770816
K2HPO4_(mM),0.04749040427093777
AminobenzoicAcid_(mM),0.037413949188491155
KCl_(mM),0.01931334334393901
Thiamine/HCl_(mM),0.017939902426567123
H3BO3_(mM),0.017737325892173673
Isoleucine_(mM),0.015458130701752051
Asparagine/H2O_(mM),0.014271944916036686
Cystine/HCl/H2O_(mM),0.011552640855073806
CaCl2/2H2O_(mM),0.011411436011971131
GlutamicAcid/HCl_(mM),0.010489233511421319
Valine_(mM),0.010367838661528475
Proline_(mM),0.009972220169016055
MgCl2/6H2O_(mM),0.009542487104197372
MgSO4/7H2O_(mM),0.009111309646904786
Methionine_(mM),0.008957013295865913
Arginine/HCl_(mM),0.007939900589693285
Tryptophan_(mM),0.007424393309409855
Glycine_(mM),0.007146275773244637
(NH4)2SO4_(mM),0.007010403234057053
Pyridoxine_(mM),0.006957201724755379
Tyrosine_(mM),0.0069193500550710245
FeSO4/7H2O_(mM),0.006400517924310263
Histidine/HCl/H2O_(mM),0.0058516272881898755
Phenylalanine_(mM),0.005695346670584184
NaCl_(mM),0.005593507304959974
Lysine/HCl_(mM),0.003232159400638038
Threonine_(mM),0.0031741532095763696
Glucose_(mM),0.002843478373012311
Alanine_(mM),0.0025303788884713987
Na2MoO4/2H2O_(mM),0.0024627130808210127
CuSO4/5H2O_(mM),0.0024132938751912545
Na3C6H5O7/2H2O_(mM),0.002276169218021502
Na2HPO4_(mM),0.0012760236774002898
Riboflavin_(mM),0.0006404886508045077
AsparticAcid_(mM),0.00037911119267697383
FolicAcid_(mM),0.0001670629400307735
CaSO4/2H2O_(mM),2.5734678327216985e-05
Glutamine_(mM),2.1182807145901854e-05
NH4Cl_(mM),7.0220901349886315e-06
Na2S2O3/5H2O_(mM),5.4768097719387384e-06
